Identificador,Sexo,Grupo,Grado,Grado_num,Grado_num2,Trabaja,No_trabaja,Ocupacion,Ocupacion_otro,Personas_hogar,Ing_hogar,Municipio,Clave_mun,prob_Contaminacion,prob_Convivencia,prob_Corrupcion,prob_Desarrollo_urbano,prob_Desastres.naturales,prob_Desigualdad,prob_Deuda_publica,prob_Economia,prob_Educacion,prob_Empleo,prob_Imparticion_justicia,prob_Participacion_ciudadana,prob_Pobreza,prob_Salud,prob_Seguridad_publica,prob_Servicios_publicos,prob_Transparencia,prob_Transporte,prob_Vivienda,prob_Ninguno,prob_Otro,Sat_luz,Sat_gas,Sat_agua,Sat_policia,Sat_trans_pub,Sat_estacionamiento,Sat_basura,Sat_internet,Sat_mercados,Informacion,Informacion_otro,Interes_politica,Iden_presidente,Iden_diploc,Iden_dipfed,Voto18,No_voto18,No_voto18_otro,PE_1,PE_2,PE_3,PE_4,PE_5,PE_6,PE_7,PE_8,PP12M_1,PP12M_2,PP12M_3,PP12M_4,PP12M_5,PP12M_6,PP12M_7,Manif_1,Manif_2,Manif_3,Manif_4,SentirPP_1,SentirPP_2,SentirPP_3,SentirPP_4,SentirPP_5,SentirPP_6,Iden_Plebiscito,Iden_Referendum,Iden_Ratificacion_Constitucional,Iden_Iniciativa_Ciudadana,Iden_Ratificacion_Mandato,Iden_Revocacion_Mandato,Iden_Consulta_Popular,Iden_Presupuesto_Participativo,Iden_Comparecencia_Publica,Iden_Proyecto_Social,Iden_Asamblea_Popular,Iden_Ayuntamiento_Abierto,Iden_Colaboracion_Popular,Iden_Planeacion_Participativa,Iden_Dialogo_Colaborativo,Iden_Contraloria_Social,Part_Plebiscito,Part_Referendum,Part_Ratificacion_Constitucional,Part_Iniciativa_Ciudadana,Part_Ratificacion_Mandato,Part_Revocacion_Mandato,Part_Consulta_Popular,Part_Presupuesto_Participativo,Part_Comparecencia_Publica,Part_Proyecto_Social,Part_Asamblea_Popular,Part_Ayuntamiento_Abierto,Part_Colaboracion_Popular,Part_Planeacion_Participativa,Part_Dialogo_Colaborativo,Part_Contraloria_Social,Opinion_cuenta,ID_gob,wf2
59,1,3,5,5,,1,,1,,4,9,Guadalajara,39,,,,,,,,,,,,,,,1,1,,1,,,,2,2,3,4,3,4,3,2,2,2,,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,9692
60,2,3,5,3,,1,,1,,5,5,Tlaquepaque,98,,,1,,,,,,,,,,,,1,1,,,,,,2,2,2,3,2,2,2,2,2,4,,3,1,2,2,1,,,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,108,2389
61,2,3,5,5,,2,2,,,4,3,Guadalajara,39,1,,,,,,,,,,,,,1,1,,,,,,,4,3,2,4,4,3,1,1,2,1,,2,1,2,2,1,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,109,146
62,1,3,5,4,,2,2,,,2,2,Guadalajara,39,1,,,,,,,,1,,,,,1,,,,,,,,2,2,2,3,2,3,3,3,2,3,,3,1,2,2,1,,,2,2,3,2,3,3,2,3,1,2,1,2,2,2,1,,,3,,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,113,131
63,2,1,5,4,,1,,1,,3,6,Guadalajara,39,,,,,,1,,,,1,,,,,1,,,,,,,1,2,2,3,2,4,2,2,2,1,,2,1,1,2,1,,,1,1,2,2,2,2,2,3,2,2,2,2,3,2,2,,,,,,,,,,,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,,,,2,2,2,2,,2,2,,,,,,,3,116,971
64,1,3,5,4,,2,2,,,2,3,Tlaquepaque,98,,,,1,,,,,,,,,,,1,,,,,,,4,2,3,4,4,4,4,4,4,4,,4,2,2,2,2,1,,1,2,2,2,2,2,2,4,2,2,2,2,2,2,2,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,117,83
65,2,3,6,3,,1,,1,,1,6,El Salto,70,1,,,,,,,,,,,,1,,,1,,,,,,2,2,4,3,4,3,2,3,5,3,,1,1,2,1,1,,,2,2,3,3,3,3,2,3,1,2,2,1,2,2,2,,,,,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,,1,2,2,1,1,1,1,1,,1,1,1,2,2,122,552
66,2,4,5,4,,2,3,,,4,1,Guadalajara,39,,,1,,,,,,,,,,,,,,,,,,,2,3,4,3,2,3,2,3,2,4,,4,1,2,2,1,,,2,2,4,2,2,4,2,2,2,2,2,2,2,,2,,,,,,,,,,,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,1,,,,,,,,,,3,124,2083
67,2,3,6,4,,2,6,,,1,9,Zapopan,120,,,,,,1,,1,,1,,,,,,,,,,,,1,2,1,2,2,2,1,1,1,1,,1,1,2,2,1,,,1,2,1,1,1,1,1,1,2,2,2,1,2,1,2,,,,,3,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,128,13696
68,1,3,5,5,,2,2,,,3,3,Guadalajara,39,,,,1,,,,,,,,,,,,1,,,,,,1,1,2,2,2,2,1,2,1,1,,2,1,2,2,1,,,2,2,5,2,5,5,5,2,2,2,2,2,2,2,2,,,,,,,,,,,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,,,,,,2,,,,,,,,,,3,129,108
69,1,1,5,5,,1,,1,,2,5,Guadalajara,39,1,,,,,,1,,,,,,,,,,,1,,,,1,2,3,3,4,2,1,2,1,4,,2,1,2,2,1,,,1,3,3,2,3,4,2,3,2,2,1,1,2,2,1,,,3,,2,1,2,2,3,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1,1,2,1,,2,2,,2,2,,2,2,135,988
70,1,3,5,3,,1,,5,,2,4,Guadalajara,39,,,,,,,,,,,,,,,1,,,,,,,2,2,3,3,3,4,4,3,3,4,,1,1,2,2,1,,,2,3,3,2,3,3,2,1,2,2,1,2,2,2,1,,,3,,2,2,2,,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,2,2,2,1,2,2,1,,2,2,2,,2,,,2,2,136,1290
71,1,4,6,2,,1,,7,Jubilado ,2,5,Colotlán,25,,,,1,,,,,,,,1,,,,,,,,,,3,2,2,3,5,4,2,2,2,1,,1,1,2,2,1,,,2,2,3,2,2,5,2,3,2,2,2,1,2,2,2,,,,,,,3,,3,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,1,2,2,2,,1,1,1,,1,1,1,,1,137,988
72,1,1,6,2,,1,,1,,3,5,Guadalajara,39,1,,,,,1,,,,,,,,,1,,,,,,,2,1,1,3,2,3,1,1,2,3,,1,1,2,2,1,,,1,1,1,1,1,2,1,4,2,2,1,2,2,1,2,,,,,3,2,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,2,2,146,1312
73,2,1,5,1,,1,,3,,5,2,Ocotlán,63,,,1,,,,,,,,1,,,,1,,,,,,,2,2,3,4,4,4,4,3,3,3,,4,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,4278
74,2,1,5,6,,2,2,,,4,9,Tlaquepaque,98,1,,,1,,,,,,,,,,,1,,,,,,,3,3,3,3,2,3,3,2,2,1,,3,1,2,2,2,3,,1,2,2,2,3,3,3,1,1,2,1,1,2,1,1,,,3,,3,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,3,1,2,1,1,1,2,1,1,1,2,2,150,706
75,2,3,5,5,,1,,4,,1,7,Tlaquepaque,98,,,1,,,,,,,,,,,,,,,,,,,2,2,2,4,4,4,2,3,2,3,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,3,,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,153,375
76,1,1,5,5,,1,,1,,4,7,Guadalajara,39,1,1,,1,,,,,,,,,,,,,,,,,,2,2,4,3,2,3,2,3,3,4,,2,1,2,2,1,,,1,1,2,1,3,2,5,3,2,2,2,2,2,2,2,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,,2,2,2,2,2,2,1,2,2,2,2,,1,2,,3,155,848
77,2,1,5,5,,2,2,,,2,6,Zapopan,120,,,,1,,,,,,,,,1,,1,,,,,,,3,2,2,3,4,4,4,2,3,4,,1,1,2,2,2,7,,2,3,3,2,2,2,2,3,2,2,1,2,2,1,1,,,3,,1,1,1,1,3,2,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,,,2,2,2,2,2,,,1,3,,2,2,2,2,2,156,58
78,2,3,5,1,,1,,5,,4,4,Tlajomulco de Zúñiga,97,,,,,1,,,,,1,,,,,1,,,,,,,3,3,2,3,3,3,3,2,3,3,,1,1,2,1,1,,,2,1,2,1,2,2,2,1,1,2,1,1,1,2,2,,,,,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,2,2,1,2,2,2,1,158,2349
79,1,1,5,4,,2,5,,,4,4,Chapala,30,,,,1,,,,,,,,,,1,,,,1,,,,1,1,2,3,3,3,2,2,2,3,,2,1,1,2,1,,,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,,,,,2,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,2,2,3,2,2,2,2,2,1,161,1287
80,2,2,5,4,,1,,5,,3,4,Zapopan,120,,,,,,,,,,1,,,,1,1,,,,,,,1,2,1,4,2,2,2,3,3,4,,2,1,2,2,1,,,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,,,,,1,3,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,1,1,1,2,2,1,2,2,1,1,1,1,2,2,,,2,2,2,162,1767
81,1,1,5,4,,1,,1,,6,3,Tlajomulco de Zúñiga,97,,,,1,,,,,1,,,,,,1,,,,,,,2,2,3,4,4,4,4,4,3,1,,1,1,1,1,1,,,2,3,4,3,3,5,3,3,1,2,1,1,2,1,2,,,,,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,2,163,3398
82,2,1,5,5,,2,2,,,7,3,Guadalajara,39,,,,,,,,,,,,,,1,1,1,,,,,,1,1,1,2,2,1,2,1,1,4,,1,1,1,2,1,,,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,,,,,3,2,2,1,3,2,1,2,2,1,1,2,1,1,2,2,2,1,2,2,2,1,2,,,2,1,,2,1,,,,2,,,,2,1,164,333
83,1,1,5,5,,1,,1,,3,8,Tlajomulco de Zúñiga,97,,1,,1,,,,,,,,,,,1,,,,,,,2,2,2,3,3,3,2,3,2,2,,1,1,2,2,2,7,,2,2,2,2,3,3,2,4,1,2,1,1,2,2,2,,,,,2,2,2,2,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,,1,2,2,2,1,2,2,1,167,2522
84,2,1,5,4,,1,,1,,6,6,Zapopan,120,1,,,,,,,,,,,,1,,1,,,,,,,3,2,1,4,2,2,1,2,2,3,,1,1,1,1,1,,,2,3,3,2,3,3,2,4,1,2,1,1,2,2,1,,,3,,2,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,169,2280
85,2,4,5,,,1,,5,,1,9,Zapopan,120,,,,,,,,,,,,,,,,,,,,1,,3,,3,3,2,5,,1,5,1,,4,1,2,2,1,,,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,2,2,2,1,1,1,2,1,2,1,2,1,2,2,2,2,,,,,,,,,,,,,,,,,1,171,4241
86,1,3,5,6,,2,2,,,4,5,Sayula,82,,,1,,,,,,,,,,1,,1,,,,,,,2,2,3,3,3,4,4,4,3,4,,3,1,2,2,1,,,2,1,3,3,3,3,3,1,2,2,2,2,2,2,2,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,,2,2,2,2,174,129
87,1,1,5,1,,2,2,,,4,6,Chapala,30,1,,1,,,,,,,,,,,,1,,,,,,,2,2,2,3,3,3,2,3,2,5,,3,1,2,2,2,6,,1,3,2,2,2,3,2,1,1,2,2,2,2,2,2,,,,,1,1,3,1,3,1,1,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,3,,,1,2,2,1,2,,1,,,,,,,2,176,95
88,2,3,6,2,,1,,1,,4,3,Zapotlán el Grande,23,1,,,,,,,,,,,,,,1,,,1,,,,1,1,2,3,3,3,2,1,2,4,,2,1,1,1,1,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,,,,,,,,,,,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,,,2,,2,,,,,2,178,1980
89,1,1,5,4,,1,,1,,4,7,Puerto Vallarta,67,,,,1,,,,,,,,1,,,1,,,,,,,2,2,1,2,3,2,3,2,3,4,,2,1,1,1,1,,,1,1,1,2,1,1,1,3,1,2,2,2,2,1,2,,,,,3,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,183,848
90,2,1,5,4,,2,2,,,4,2,Ameca,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,232
91,1,3,5,5,,1,,5,,3,5,Zapopan,120,,,,1,,,,,,,,1,,,1,,,,,,,3,2,2,3,6,2,1,6,2,4,,1,1,1,1,1,,,1,1,1,1,1,1,1,3,1,2,2,1,2,1,2,,,,,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,2,1,1,2,2,2,2,2,2,187,1312
92,2,1,5,4,,1,,1,,2,5,Zapopan,120,,,,1,,,,,,,,,,,1,,,,,,,2,2,3,4,2,4,2,2,3,1,,2,1,2,2,1,,,2,3,3,1,3,2,1,3,1,2,2,1,2,1,2,,,,,1,1,2,1,3,1,1,2,1,1,2,1,1,2,1,1,1,2,2,1,1,1,2,,2,1,,2,1,,2,2,2,,,1,1,2,2,188,1018
93,1,3,5,6,,1,,1,,3,2,Bolaños,19,1,,,,,,,,,,,,,,1,,,,1,,,1,2,2,2,3,3,2,3,3,4,,1,1,1,1,1,,,3,2,2,1,2,2,1,3,2,2,1,,,,2,,,,,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,2,1,189,2347
94,2,1,5,4,,1,,1,,2,4,Guadalajara,39,1,,,,,,,,,,,,,,1,,,,,,,2,2,2,3,2,3,1,2,2,3,,1,1,1,1,1,,,1,1,1,1,1,1,1,3,1,1,2,1,1,2,2,,,,,3,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,190,1330
95,1,2,6,5,,1,,1,,5,7,Guadalajara,39,1,,,,,,,,,1,,,,,1,,,,,,,3,2,2,3,2,2,2,4,2,3,,2,1,2,2,1,,,1,3,3,1,2,3,2,1,1,2,2,1,1,2,2,,,,,1,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,1,1,2,2,1,1,2,2,191,1126
96,1,3,6,2,,1,,4,,5,6,Zapopan,120,,,,,,,,,,,,,,,1,,,,,,,3,2,3,3,2,3,1,3,3,4,,2,1,2,2,1,,,2,2,2,2,3,3,2,4,1,2,2,2,2,1,2,,,,,1,2,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,,2,,,,2,193,1664
97,2,3,5,5,,1,,5,,5,2,Zapopan,120,,1,,,,,,,,,,,,,1,,,1,,,,3,2,2,4,4,3,4,2,5,4,,1,1,2,2,1,,,2,4,2,1,3,2,1,1,2,2,2,1,2,2,2,,,,,1,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,196,4278
98,1,1,5,4,,2,2,,,3,5,Zapotiltic,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,99
99,1,1,6,4,,2,2,,,3,3,El Limón,54,,,,,,,,,,1,,,,,1,1,,,,,,3,2,2,3,3,3,2,4,4,3,,3,1,2,2,1,,,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,,,,,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,198,108
100,2,1,5,4,,1,,1,,4,4,El Limón,54,,,,,,,,,,1,,,,,,1,,,1,,,2,2,2,2,3,2,2,3,4,1,,2,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,,,,,3,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,2,1,,1,1,1,1,2,1,199,2349
101,1,2,5,4,,2,2,,,5,5,Zapotlán del Rey,123,,,,1,,1,,,,,,1,,,,,,,,,,2,2,2,4,3,2,2,3,3,1,,2,1,2,2,1,,,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,,,,,2,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,200,170
102,1,1,5,3,,1,,4,,4,4,Tecolotlán,88,,,,1,,,,,,1,,1,,,,,,,,,,2,2,2,2,2,3,3,3,3,4,,1,1,1,1,1,,,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,,,,,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,204,2280
103,1,3,6,4,,2,2,,,3,3,Tuxpan,108,,,,1,,1,,,,,,,,,,,,,,,,2,1,3,3,2,3,3,3,3,1,,1,1,1,1,1,,,2,2,2,2,,2,2,4,1,2,1,1,1,1,2,,,,,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,,1,2,2,,1,1,,1,,2,1,1,2,3,205,108
104,2,2,6,3,,1,,5,,3,7,Guadalajara,39,1,,,,,,,1,,,1,,,,,,,,,,,2,2,3,4,4,4,2,4,2,4,,3,1,2,2,1,,,2,3,4,4,4,4,2,1,2,2,2,1,2,2,2,,,,,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,,,2,2,2,1,1,1,2,,,1,2,2,,2,206,658
105,2,1,5,4,,2,2,,,5,3,,,,,,1,,,,,,1,,,,,,,,,1,,,3,2,2,2,3,4,2,4,4,1,,2,1,1,1,1,,,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,2,1,1,2,2,2,1,2,3,207,192
106,2,1,5,5,,2,2,,,6,3,Autlán de Navarro,15,,,,,,,,1,,1,,,,,,1,,,,,,1,1,3,4,2,2,4,4,4,5,,2,2,2,2,1,,,2,4,4,4,4,4,4,3,2,2,2,1,2,2,2,,,,,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,209,252
107,1,2,5,5,,1,,1,,2,3,Zapopan,120,,,,1,,,,,,,,,,1,1,,,,,,,1,1,1,3,2,4,2,4,2,4,,2,1,1,1,1,,,1,1,1,1,1,1,1,3,1,2,2,2,1,1,2,,,,,3,2,3,1,3,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,,2,1,1,2,2,2,2,2,1,2,2,1,210,1088
108,2,1,6,2,,1,,1,,1,6,Zapopan,120,,,,,,1,,,,,,,,,,,,,,,,2,2,4,2,2,2,2,2,2,3,,2,1,2,2,1,,,2,2,2,2,2,2,2,3,2,2,2,1,2,2,1,,,3,,2,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,,,1,2,2,1,211,552
109,2,1,5,4,,1,,1,,3,3,Zapotlán del Rey,123,,,,1,,,,,,1,,,,,1,,,,,,,1,1,3,4,3,1,2,2,3,4,,2,1,1,1,1,,,1,1,1,1,1,1,1,3,1,2,2,1,2,1,2,,,,,3,1,3,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,3,2,1,2,2,1,2,2,1,1,1,1,2,1,2,1,212,1490
110,1,1,5,5,,2,2,,,6,6,Encarnación de Díaz,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,162
111,2,1,5,4,,1,,1,,4,5,Sayula,82,1,,,,,,,,,,,,,,1,,,,1,,,3,2,3,4,2,3,3,2,2,4,,2,1,1,1,1,,,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,,,,,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,215,1797
112,1,1,5,4,,1,,5,,6,2,Ayutla,15,,,,1,,,,,,,,,,,,,,,,,,3,2,2,2,5,5,2,3,5,5,,3,1,2,2,1,,,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,,,,,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,1,2,2,2,1,2,2,217,5522
113,1,1,6,2,,1,,4,,3,6,Techaluta de Montenegro,89,,,,1,,1,,,,,,,,,,,,,1,,,2,2,2,2,3,3,2,3,3,3,,2,1,1,1,1,,,2,2,2,2,2,2,2,3,2,2,2,1,2,1,2,,,,,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,1,1,2,1,1,1,1,1,220,943
114,2,1,5,4,,1,,1,,3,4,Zapotlán del Rey,123,,,,1,,,,,,1,,,,1,,,,,,,,1,2,2,3,3,5,1,4,5,4,,2,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,,,,,3,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,1,222,1767
115,2,1,6,2,,2,2,,,5,4,Tuxpan,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,226
116,1,1,5,4,,1,,1,,5,4,Tonila,103,,,,,,,,,,1,,,,1,1,,,,,,,2,2,3,3,2,2,2,,2,1,,2,1,1,1,1,,,2,2,2,2,2,2,2,4,2,2,1,1,1,1,2,,,,,2,1,3,1,3,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,2,1,2,2,1,1,2,1,2,2,2,1,2,2,1,225,3031
117,2,2,5,6,,2,2,,,1,4,San Gabriel,113,,,,,1,,,,,,,,,1,,,,,1,,,2,1,2,2,2,2,2,3,3,4,,1,1,1,1,1,,,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,,,,,2,2,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,227,77
118,2,1,6,2,,1,,1,,4,5,Tonila,103,,,,,,,1,,,,,,1,,,,,,,,,2,2,3,3,2,2,2,3,3,4,,1,1,1,1,1,,,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,,,,,2,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,228,1797
119,1,3,6,2,,1,,7,Jubilado y participó en la asociación vecinal ,3,7,Tlajomulco de Zúñiga,97,,,,1,1,,,,,,,,,,1,,,,,,,2,1,2,1,3,3,2,2,3,3,,2,1,1,1,1,,,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,,,,,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,1,1,2,1,2,1,231,639
120,1,2,5,4,,1,,1,,6,4,Zapotlán el Grande,23,,,,1,,,,,,,,1,,,,,,1,,,,2,2,3,2,3,3,3,4,3,4,,1,1,1,1,1,,,1,2,3,2,3,3,3,3,2,2,2,1,1,1,2,,,,,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,,,2,1,2,2,1,1,1,1,1,,1,1,1,2,2,232,4032
121,2,1,5,4,,1,,1,,3,2,Amacueca,4,,,,,,,,1,,1,,,,,,,,,1,,,3,4,3,2,6,5,2,3,2,3,,2,1,1,1,1,,,1,2,2,1,5,5,2,2,1,2,2,2,2,2,2,,,,,2,2,2,1,3,1,1,1,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,233,2418
122,1,2,6,6,,1,,5,,4,2,Zapotlán del Rey,123,,,1,,,,1,,1,,,,,,,,,,,,,2,2,2,2,3,5,2,2,2,1,,3,1,1,1,1,,,1,1,2,2,2,2,2,2,1,2,2,1,2,1,2,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,235,3121
123,1,1,6,6,,1,,4,,4,5,Zapotlán el Grande,23,,,1,,,,,,,,1,,,,,,1,,,,,2,2,2,2,3,3,3,2,3,1,,2,1,2,2,1,,,2,2,4,4,3,3,3,2,1,2,1,1,2,1,2,,,,,4,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2,2,236,1744
124,2,3,5,4,,1,,5,,3,7,Tecalitlán,87,,,,,,,,1,,1,,,,1,,,,,,,,2,2,2,3,5,5,2,3,3,1,,2,1,1,1,1,,,1,1,2,1,1,2,1,2,1,2,2,1,2,2,2,,,,,2,4,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,2,1,2,1,1,2,1,239,658
